date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jul%202018%2009:00:48%20GMT	https://breezometer.com/?p=3155	breezometer.com/index58e9.html	(from https://breezometer.com/air-quality-api/heatmap-tile-overlay/)
12:00:49	2493/2493	---MCZ	200	added ('OK')	text/xml	date:Sun,%2001%20Jul%202018%2009:00:48%20GMT	https://breezometer.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbreezometer.com%2Fair-quality-api%2Fheatmap-tile-overlay%2F&format=xml	breezometer.com/wp-json/oembed/1.0/embed71dd	(from https://breezometer.com/air-quality-api/heatmap-tile-overlay/)
12:00:50	2262/2262	---MCZ	200	added ('OK')	application/json	date:Sun,%2001%20Jul%202018%2009:00:49%20GMT	https://breezometer.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbreezometer.com%2Fair-quality-api%2Fforecast-api%2F	breezometer.com/wp-json/oembed/1.0/embed0cc6.json	(from https://breezometer.com/air-quality-api/forecast-api/)
12:00:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jul%202018%2009:00:50%20GMT	https://breezometer.com/?p=5788	breezometer.com/index6bbd.html	(from https://breezometer.com/air-quality-api/forecast-api/)
12:00:51	2357/2357	---MCZ	200	added ('OK')	text/xml	date:Sun,%2001%20Jul%202018%2009:00:50%20GMT	https://breezometer.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbreezometer.com%2Fair-quality-api%2Fforecast-api%2F&format=xml	breezometer.com/wp-json/oembed/1.0/embed0e38	(from https://breezometer.com/air-quality-api/forecast-api/)
12:00:52	2302/2302	---MCZ	200	added ('OK')	application/json	date:Sun,%2001%20Jul%202018%2009:00:51%20GMT	https://breezometer.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbreezometer.com%2Fair-quality-api%2Fresponse-data-fields%2F	breezometer.com/wp-json/oembed/1.0/embed94de.json	(from https://breezometer.com/air-quality-api/response-data-fields/)
12:00:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jul%202018%2009:00:52%20GMT	https://breezometer.com/?p=1898	breezometer.com/index3bad.html	(from https://breezometer.com/air-quality-api/response-data-fields/)
12:00:53	2397/2397	---MCZ	200	added ('OK')	text/xml	date:Sun,%2001%20Jul%202018%2009:00:52%20GMT	https://breezometer.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbreezometer.com%2Fair-quality-api%2Fresponse-data-fields%2F&format=xml	breezometer.com/wp-json/oembed/1.0/embed053e	(from https://breezometer.com/air-quality-api/response-data-fields/)
12:00:54	2272/2272	---MCZ	200	added ('OK')	application/json	date:Sun,%2001%20Jul%202018%2009:00:53%20GMT	https://breezometer.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbreezometer.com%2Fair-quality-api%2Fresponse-codes%2F	breezometer.com/wp-json/oembed/1.0/embedbb74.json	(from https://breezometer.com/air-quality-api/response-codes/)
12:00:54	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jul%202018%2009:00:54%20GMT	https://breezometer.com/?p=1872	breezometer.com/indexdea9.html	(from https://breezometer.com/air-quality-api/response-codes/)
12:00:55	2367/2367	---MCZ	200	added ('OK')	text/xml	date:Sun,%2001%20Jul%202018%2009:00:54%20GMT	https://breezometer.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbreezometer.com%2Fair-quality-api%2Fresponse-codes%2F&format=xml	breezometer.com/wp-json/oembed/1.0/embeda8a4	(from https://breezometer.com/air-quality-api/response-codes/)
12:00:56	2252/2252	---MCZ	200	added ('OK')	application/json	date:Sun,%2001%20Jul%202018%2009:00:55%20GMT	https://breezometer.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbreezometer.com%2Fair-quality-api%2Fpollen-api%2F	breezometer.com/wp-json/oembed/1.0/embedc6a5.json	(from https://breezometer.com/air-quality-api/pollen-api/)
12:00:56	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jul%202018%2009:00:56%20GMT	https://breezometer.com/?p=5786	breezometer.com/index0667.html	(from https://breezometer.com/air-quality-api/pollen-api/)
